object_id,kepoi_name,kepler_name,kepid,source,koi_disposition,koi_period,koi_duration,koi_depth,koi_steff,koi_kepmag,koi_prad,koi_slogg,koi_srad,koi_teq,koi_model_snr,koi_impact,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,log_period,log_depth,label
K00010.01,K00010.01,Kepler-8 b,6922244,KOI,CONFIRMED,3.522498429,3.19843,9145.7,6225.0,13.563,14.59,4.169,1.451,1521.0,1741.5,0.631,0,0,0,0,0.5468508080903272,3.9612169514201905,1
K00112.02,K00112.02,Kepler-466 c,10984090,KOI,CONFIRMED,3.709214104,2.6302,131.1,5833.0,12.772,1.16,4.407,1.022,1206.0,50.6,0.051,0,0,0,0,0.5692819024852767,2.117602691690084,1
K00742.01,K00742.01,,10419211,KOI,FALSE POSITIVE,11.521446064,3.6399,17984.0,5795.0,15.472,150.51,4.554,0.848,753.0,622.1,2.483,0,1,0,0,1.0615069910839454,4.254886293888967,0
K00743.01,K00743.01,,10464078,KOI,FALSE POSITIVE,19.40393776,12.2155,8918.7,5043.0,15.487,7.18,4.591,0.68,523.0,214.7,0.804,0,1,0,0,1.2878898729148638,3.950301555724599,0
K00744.01,K00744.01,,10480982,KOI,FALSE POSITIVE,19.221388942,4.79843,74284.0,6117.0,15.341,49.29,4.496,0.947,698.0,2317.0,1.065,0,1,0,0,1.2837847666858937,4.8708952813245485,0
K00745.01,K00745.01,,10485250,KOI,FALSE POSITIVE,16.46983774,9.4378,10479.0,5152.0,15.788,7.94,4.517,0.786,595.0,303.4,0.292,0,1,0,0,1.2166893205437823,4.020319840357309,0
K00746.01,K00746.01,Kepler-660 b,10526549,KOI,CONFIRMED,9.27358173,3.2875,1288.3,4856.0,15.302,2.47,4.583,0.696,649.0,87.2,0.387,0,0,0,0,0.9672475038468836,3.1100170067921122,1
K00747.01,K00747.01,Kepler-661 b,10583066,KOI,CONFIRMED,6.02930329,1.5821,1912.7,4537.0,15.784,2.85,4.648,0.672,678.0,65.4,0.258,0,0,0,0,0.7802671305829673,3.281646857867514,1
K00748.01,K00748.01,,10583180,KOI,FALSE POSITIVE,2.696370652,3.6129,397.9,4989.0,15.269,1.58,4.504,0.819,1066.0,48.2,0.044,0,1,1,1,0.4307795915182972,2.599773939146388,0
K00749.01,K00749.01,Kepler-226 c,10601284,KOI,CONFIRMED,5.349553819,3.0278,831.0,5185.0,15.416,2.55,4.44,0.91,919.0,60.6,0.092,0,0,0,0,0.7283175610816228,2.919601023784111,1
K00749.02,K00749.02,Kepler-226 b,10601284,KOI,CONFIRMED,3.94105221,2.5984,363.3,5185.0,15.416,1.7,4.44,0.91,1018.0,28.9,0.226,0,0,0,0,0.5956121883202355,2.5602653978627146,1
K00749.03,K00749.03,Kepler-226 d,10601284,KOI,CONFIRMED,8.10904807,3.596,217.4,5185.0,15.416,1.3,4.44,0.91,800.0,14.1,0.025,0,0,0,0,0.9089698749003051,2.3372595397502756,1
K00113.01,K00113.01,,2306756,KOI,FALSE POSITIVE,386.6030528,6.8057,24927.0,5543.0,12.394,41.5,4.081,1.58,297.0,994.0,0.9765,0,1,0,0,2.5872652791000865,4.39667001368851,0
K00750.01,K00750.01,Kepler-662 b,10662202,KOI,CONFIRMED,21.67699193,3.4555,857.2,4954.0,15.377,2.95,4.5,0.828,530.0,34.3,0.896,0,0,0,0,1.3359990159272193,2.933082162369791,1
K00751.01,K00751.01,Kepler-663 b,10682541,KOI,CONFIRMED,4.99677968,2.1717,934.7,5339.0,15.861,2.78,4.552,0.847,917.0,28.2,0.71,0,0,0,0,0.698690200779452,2.9706722426897194,1
K00769.01,K00769.01,Kepler-671 b,11460018,KOI,CONFIRMED,4.280963604,2.875,750.8,5644.0,15.356,2.3,4.564,0.831,1012.0,61.8,0.424,0,0,0,0,0.6315415355546655,2.8755242639493086,1
K00770.01,K00770.01,,11463211,KOI,FALSE POSITIVE,1.50635409,1.5155,2211.7,5714.0,15.525,4.53,4.563,0.831,1452.0,181.1,0.86,0,0,1,0,0.17792707097335955,3.34472621793986,0
K00771.01,K00771.01,,11465813,KOI,FALSE POSITIVE,670.645531,53.412,18091.0,5520.0,15.207,14.14,4.466,0.983,196.0,642.7,0.701,0,1,1,0,2.8264930349126693,4.257462573630329,0
K00772.01,K00772.01,,11493732,KOI,FALSE POSITIVE,61.2563628,7.633,5123.3,6144.0,15.25,39.87,4.402,1.091,505.0,85.3,1.248,0,1,0,0,1.7871512062677326,3.7095497871724397,0
K00773.01,K00773.01,Kepler-672 b,11507101,KOI,CONFIRMED,38.3775486,5.588,724.2,5481.0,15.172,2.82,4.369,1.036,529.0,34.7,0.468,0,0,0,0,1.5840772303396744,2.859858520480993,1
K00757.02,K00757.02,Kepler-229 d,10910878,KOI,CONFIRMED,41.19725502,4.6297,2213.9,5031.0,15.841,3.86,4.485,0.848,439.0,51.2,0.045,0,0,0,0,1.6148682798830871,3.345158000269438,1
K00757.03,K00757.03,Kepler-229 b,10910878,KOI,CONFIRMED,6.252962249,2.5819,1036.9,5031.0,15.841,2.65,4.485,0.848,823.0,47.1,0.105,0,0,0,0,0.7960858067231318,3.0157368744774504,1
K00758.01,K00758.01,Kepler-665 b,10987985,KOI,CONFIRMED,16.01308419,3.2554,1121.9,5015.0,15.39,3.1,4.499,0.826,593.0,33.2,0.799,0,0,0,0,1.2044749869910183,3.0499541480220462,1
K00759.01,K00759.01,Kepler-230 b,11018648,KOI,CONFIRMED,32.62876672,4.7971,1804.8,5586.0,15.082,3.36,4.56,0.798,506.0,80.0,0.021,0,0,0,0,1.5136006589297455,3.2564290823032485,1
K00759.02,K00759.02,Kepler-230 c,11018648,KOI,CONFIRMED,91.7732862,6.473,652.0,5586.0,15.082,2.12,4.56,0.798,359.0,19.1,0.606,0,0,0,0,1.962716283115195,2.81424759573192,1
K00760.01,K00760.01,Kepler-1976 b,11138155,KOI,CONFIRMED,4.959319244,2.22739,9802.0,5712.0,15.263,12.21,4.359,1.082,1103.0,696.5,0.831,0,0,0,0,0.6954220658319428,3.9913146981766108,1
K00761.01,K00761.01,,11152159,KOI,FALSE POSITIVE,2.701287801,3.3827,860.4,5550.0,15.54,6.54,4.468,0.91,1222.0,48.3,1.016,0,1,1,0,0.43157085731872735,2.934700401715425,0
K00762.01,K00762.01,Kepler-666 b,11153539,KOI,CONFIRMED,4.49876511,3.7362,460.0,6075.0,15.395,2.1,4.486,0.969,1133.0,29.5,0.312,0,0,0,0,0.6530933183280644,2.6627578316815743,1
K00763.01,K00763.01,,11242721,KOI,FALSE POSITIVE,19.651209505,5.2514,11766.0,6074.0,15.536,12.42,4.391,1.063,730.0,513.4,0.723,0,1,0,0,1.293389285763956,4.070628844051428,0
K00115.01,K00115.01,Kepler-105 b,9579641,KOI,CONFIRMED,5.412203927,2.9472,601.6,5779.0,12.791,2.94,4.339,1.087,1093.0,166.7,0.787,0,0,0,0,0.7333741520612611,2.779307827583586,1
K00764.01,K00764.01,Kepler-667 b,11304958,KOI,CONFIRMED,41.43958662,10.5989,2793.1,5468.0,15.4,5.5,4.367,1.046,516.0,141.1,0.355,0,0,0,0,1.6174154144604302,3.4460864848133355,1
K00765.01,K00765.01,Kepler-668 b,11391957,KOI,CONFIRMED,8.35389523,2.2514,1041.6,5592.0,15.317,2.52,4.582,0.787,790.0,43.4,0.023,0,0,0,0,0.9218890242786124,3.0177009712241167,1
K00766.01,K00766.01,Kepler-669 b,11403044,KOI,CONFIRMED,4.125543472,3.1744,1487.3,6174.0,15.506,4.43,4.417,1.103,1243.0,128.6,0.597,0,0,0,0,0.6154811677571367,3.1723985779393047,1
K00767.01,K00767.01,Kepler-670 b,11414511,KOI,CONFIRMED,2.816504904,2.50587,16814.0,5532.0,15.052,12.21,4.452,0.955,1219.0,1406.8,0.105,0,0,0,0,0.4497105117504163,4.225671043081144,1
K00768.01,K00768.01,,11442465,KOI,FALSE POSITIVE,33.93373447,14.561,8503.7,5040.0,15.716,7.34,4.628,0.705,430.0,236.1,0.812,0,1,1,0,1.5306316571831735,3.9296079304142584,0
K00786.01,K00786.01,Kepler-680 b,12110942,KOI,CONFIRMED,3.689920099,2.6557,426.7,5880.0,15.242,1.89,4.518,0.917,1147.0,35.6,0.151,0,0,0,0,0.5670169621105248,2.630122642859312,1
K00787.01,K00787.01,Kepler-232 b,12366084,KOI,CONFIRMED,4.431238488,3.15,1010.9,5714.0,15.367,3.25,4.428,1.015,1104.0,71.1,0.405,0,0,0,0,0.64652512426659,3.0047081965443363,1
K00787.02,K00787.02,Kepler-232 c,12366084,KOI,CONFIRMED,11.37936986,2.6255,1023.5,5714.0,15.367,3.95,4.428,1.015,806.0,37.9,0.911,0,0,0,0,1.0561182133857736,3.0100878469985246,1
K00788.01,K00788.01,Kepler-681 b,12404086,KOI,CONFIRMED,26.39432897,3.573,1510.9,5129.0,15.234,3.07,4.595,0.763,489.0,48.2,0.602,0,0,0,0,1.4215106252939524,3.1792357211984807,1
K00116.01,K00116.01,Kepler-106 c,8395660,KOI,CONFIRMED,13.57078281,3.3539,511.7,5854.0,12.882,2.64,4.406,1.012,785.0,88.4,0.866,0,0,0,0,1.1326049000000364,2.7090154169721172,1
K00115.02,K00115.02,Kepler-105 c,9579641,KOI,CONFIRMED,7.12594387,3.0014,192.4,5779.0,12.791,1.79,4.339,1.087,997.0,47.1,0.898,0,0,0,0,0.8528423971554295,2.284205067701794,1
K00774.01,K00774.01,,11656840,KOI,FALSE POSITIVE,7.442652004,2.3078,24446.0,6108.0,15.27,15.03,4.469,0.956,967.0,835.6,0.137,0,1,0,0,0.8717277131641508,4.388207807425138,0
K00775.01,K00775.01,Kepler-52 c,11754553,KOI,CONFIRMED,16.38489988,3.0249,1127.1,4126.0,15.095,2.0,4.661,0.615,433.0,28.9,0.001,0,0,0,0,1.2144437919682345,3.051962449783047,1
K00775.02,K00775.02,Kepler-52 b,11754553,KOI,CONFIRMED,7.8774163,2.0805,1306.1,4126.0,15.095,2.16,4.661,0.615,553.0,38.7,0.041,0,0,0,0,0.8963837973565099,3.1159764294548173,1
K00775.03,K00775.03,Kepler-52 d,11754553,KOI,CONFIRMED,36.4454001,4.007,1122.3,4126.0,15.095,1.99,4.661,0.615,332.0,21.7,0.028,0,0,0,0,1.5616427223041711,3.0501089629178675,1
K00776.01,K00776.01,Kepler-673 b,11812062,KOI,CONFIRMED,3.728732147,2.683,5226.5,5497.0,15.523,6.02,4.577,0.809,1023.0,345.2,0.558,0,0,0,0,0.5715611869928621,3.71821095473187,1
K00777.01,K00777.01,,11818800,KOI,CANDIDATE,40.4195037,3.362,6256.0,5446.0,15.487,7.51,4.507,0.781,467.0,36.9,0.911,0,0,0,0,1.606590976629195,3.7962967400517917,1
K00778.01,K00778.01,Kepler-674 b,11853255,KOI,CONFIRMED,2.243380573,1.1196,821.7,4149.0,15.135,1.99,4.698,0.564,822.0,38.9,0.915,0,0,0,0,0.3509029546947542,2.914713286973624,1
K00779.01,K00779.01,,11909839,KOI,FALSE POSITIVE,10.405998015,6.5036,14489.0,5746.0,15.562,11.23,4.393,0.924,833.0,745.2,0.324,0,1,0,0,1.0172837387160212,4.161038412422962,0
K00780.01,K00780.01,Kepler-675 b,11918099,KOI,CONFIRMED,2.337437946,1.9982,971.2,5005.0,15.334,2.34,4.595,0.765,1070.0,82.4,0.28,0,0,0,0,0.3687400901039113,2.9873086737311825,1
K00780.02,K00780.02,,11918099,KOI,CANDIDATE,7.2406612,0.558,556.4,5005.0,15.334,19.45,4.595,0.765,734.0,13.7,1.198,0,0,0,0,0.859778226749613,2.7453871213200087,1
K00115.03,K00115.03,,9579641,KOI,CANDIDATE,3.43591631,3.133,23.2,5779.0,12.791,0.55,4.339,1.087,1272.0,8.7,0.624,0,0,0,0,0.5360425770020931,1.3654879848908996,1
K00781.01,K00781.01,Kepler-676 b,11923270,KOI,CONFIRMED,11.59822233,2.5237,2804.5,3688.0,15.937,2.65,4.79,0.473,396.0,71.0,0.679,0,0,0,0,1.064391429620568,3.4478554443455356,1
K00782.01,K00782.01,Kepler-677 b,11960862,KOI,CONFIRMED,6.575315881,4.3084,2793.3,5992.0,15.312,5.31,4.415,0.989,1015.0,221.1,0.39,0,0,0,0,0.8179166213564667,3.4461175813679747,1
K00783.01,K00783.01,Kepler-678 b,12020329,KOI,CONFIRMED,7.275040844,7.5377,3001.0,5485.0,15.08,4.86,4.556,0.867,833.0,312.1,0.547,0,0,0,0,0.86183543590867,3.477265995424853,1
K00784.01,K00784.01,Kepler-231 c,12066335,KOI,CONFIRMED,19.27153892,2.7594,1219.8,4077.0,15.385,1.93,4.702,0.56,393.0,37.1,0.031,0,0,0,0,1.2849163964291015,3.0862886290216824,1
K00784.02,K00784.02,Kepler-231 b,12066335,KOI,CONFIRMED,10.06524317,1.369,1053.3,4077.0,15.385,1.91,4.702,0.56,488.0,30.3,0.628,0,0,0,0,1.0028242716353488,3.0225520841850138,1
K00785.01,K00785.01,Kepler-679 b,12070811,KOI,CONFIRMED,12.3935651,3.8896,916.6,5557.0,15.505,2.66,4.603,0.75,677.0,35.8,0.883,0,0,0,0,1.0931962523442376,2.962179852908768,1
K00116.02,K00116.02,Kepler-106 e,8395660,KOI,CONFIRMED,43.84439721,6.802,615.2,5854.0,12.882,2.87,4.406,1.012,531.0,83.7,0.852,0,0,0,0,1.6419141036029836,2.7890163267933747,1
K00798.01,K00798.01,,3120431,KOI,FALSE POSITIVE,3.341913228,3.813,725.3,5295.0,15.629,21.55,4.551,0.811,1032.0,39.0,1.213,0,1,1,0,0.523995169348511,2.8605176774617465,0
K00799.01,K00799.01,,3246984,KOI,FALSE POSITIVE,1.626630225,2.1145,1620.6,5735.0,15.279,32.43,4.41,0.973,1547.0,103.6,1.26,0,0,1,0,0.21128883782073818,3.2096758345710943,0
K00800.01,K00800.01,Kepler-234 b,3342970,KOI,CONFIRMED,2.711504086,3.0099,837.5,6214.0,15.541,3.12,4.442,1.076,1420.0,64.5,0.023,0,0,0,0,0.4332102632158464,2.9229848157088827,1
K00800.02,K00800.02,Kepler-234 c,3342970,KOI,CONFIRMED,7.21203748,4.0491,950.4,6214.0,15.541,3.32,4.442,1.076,1025.0,51.5,0.012,0,0,0,0,0.8580579750269154,2.9779064276371185,1
K00789.01,K00789.01,,12459725,KOI,FALSE POSITIVE,14.1798187,2.505,459.9,5799.0,15.727,1.88,4.539,0.878,711.0,11.2,0.1601,0,0,0,1,1.1516706780901418,2.6626634095740376,0
K00790.01,K00790.01,Kepler-233 b,12470844,KOI,CONFIRMED,8.47237911,2.7245,1123.5,5354.0,15.339,2.59,4.587,0.788,751.0,47.6,0.022,0,0,0,0,0.9280053807275354,3.0505730767551476,1
K00790.02,K00790.02,Kepler-233 c,12470844,KOI,CONFIRMED,60.4189369,5.039,931.3,5354.0,15.339,2.36,4.587,0.788,390.0,20.1,0.094,0,0,0,0,1.781173079386027,2.9690896029549214,1
K00791.01,K00791.01,Kepler-682 b,12644822,KOI,CONFIRMED,12.611904345,5.1497,6105.6,5795.0,15.14,7.4,4.508,0.919,753.0,277.2,0.55,0,0,0,0,1.1007806681814645,3.7857283486879822,1
K00792.01,K00792.01,,2440757,KOI,FALSE POSITIVE,1.433769925,1.8868,1976.3,6017.0,15.122,46.58,4.22,1.339,1920.0,112.6,1.268,0,1,0,0,0.15647946631118936,3.2958528706439485,0
K00793.01,K00793.01,,2445129,KOI,FALSE POSITIVE,10.31872301,3.836,871.7,5927.0,15.065,28.59,4.409,1.06,876.0,38.2,1.215,0,1,1,0,1.0136259546530568,2.9403670459856652,0
K00794.01,K00794.01,Kepler-683 b,2713049,KOI,CONFIRMED,2.539183147,2.4282,382.1,5519.0,15.026,2.06,4.35,1.062,1332.0,38.9,0.238,0,0,0,0,0.40469402693235745,2.582177037688409,1
K00795.01,K00795.01,Kepler-684 b,3114167,KOI,CONFIRMED,6.770300385,2.0844,1304.0,5653.0,15.591,2.77,4.656,0.679,812.0,50.8,0.838,0,0,0,0,0.8306079379102366,3.1152775913959014,1
K00796.01,K00796.01,,3114661,KOI,FALSE POSITIVE,0.444291966,2.0792,10967.0,5255.0,15.748,27.51,4.678,0.636,1836.0,299.7,1.258,0,1,1,1,-0.35233153990658306,4.04008784346988,0
K00797.01,K00797.01,,3115833,KOI,CANDIDATE,10.181584004,3.5089,5741.1,5988.0,15.657,7.73,4.541,0.836,812.0,183.6,0.92,0,0,0,0,1.0078153487946198,3.7589951115897855,1
K00812.02,K00812.02,Kepler-235 d,4139816,KOI,CONFIRMED,20.06036336,3.3203,1494.7,3950.0,15.954,1.96,4.754,0.493,361.0,35.2,0.556,0,0,0,0,1.3023387952753138,3.1745540345208303,1
K00812.03,K00812.03,Kepler-235 e,4139816,KOI,CONFIRMED,46.1842039,4.758,1394.7,3950.0,15.954,1.83,4.754,0.493,273.0,26.0,0.013,0,0,0,0,1.6644934618742873,3.1444808009027496,1
K00116.04,K00116.04,Kepler-106 d,8395660,KOI,CONFIRMED,23.9800854,5.351,104.0,5854.0,12.882,1.31,4.406,1.012,649.0,17.1,0.95,0,0,0,0,1.379850725413485,2.0170333392987803,1
K00812.04,K00812.04,Kepler-235 c,4139816,KOI,CONFIRMED,7.82502168,2.186,520.8,3950.0,15.954,1.2,4.754,0.493,494.0,15.9,0.708,0,0,0,0,0.8934855494761633,2.7166709755601355,1
K00813.01,K00813.01,Kepler-688 b,4275191,KOI,CONFIRMED,3.895936525,2.3111,8544.8,5557.0,15.725,7.34,4.592,0.774,1005.0,370.8,0.524,0,0,0,0,0.5906118724707449,3.9317019020581734,1
K00814.01,K00814.01,Kepler-689 b,4476123,KOI,CONFIRMED,22.36646466,5.228,986.8,5395.0,15.583,2.32,4.615,0.734,536.0,32.1,0.4,0,0,0,0,1.3495973430599042,2.9942291408176986,1
K00801.01,K00801.01,Kepler-685 b,3351888,KOI,CONFIRMED,1.625522174,2.38963,7969.0,5539.0,15.001,9.73,4.322,1.106,1579.0,799.7,0.076,0,0,0,0,0.21099289815091446,3.901403826825252,1
K00802.01,K00802.01,,3453214,KOI,CANDIDATE,19.620346923,2.0038,21725.0,5710.0,15.562,13.6,4.492,0.905,643.0,340.5,0.458,0,0,0,0,1.292706682218879,4.336959785120704,1
K00803.01,K00803.01,,3554600,KOI,FALSE POSITIVE,7.544039,6.222,322.6,5657.0,15.559,17.47,4.567,0.824,838.0,14.2,1.175,1,0,1,0,0.8776039248831708,2.508664363052943,0
K00804.01,K00804.01,Kepler-1727 b,3641726,KOI,CONFIRMED,9.02930689,3.1449,1019.8,5349.0,15.387,2.57,4.526,0.82,757.0,53.9,0.024,0,0,0,0,0.9556544141671816,3.0085150076314546,1
K00805.01,K00805.01,,3734868,KOI,FALSE POSITIVE,10.328035714,7.7915,16918.0,5627.0,15.646,13.28,4.359,1.024,843.0,636.8,0.281,0,1,0,0,1.0140177310366665,4.228349020623638,0
K00806.01,K00806.01,Kepler-30 d,3832474,KOI,CONFIRMED,143.2063047,8.9302,10566.0,5485.0,15.403,8.9,4.556,0.867,308.0,138.8,0.379,0,0,0,0,2.1559621383359877,4.0239106063509205,1
K00116.03,K00116.03,Kepler-106 b,8395660,KOI,CONFIRMED,6.164876,3.262,55.8,5854.0,12.882,0.79,4.406,1.012,1021.0,14.4,0.646,0,0,0,0,0.7899243456426432,1.7466341989375787,1
K00806.02,K00806.02,Kepler-30 c,3832474,KOI,CONFIRMED,60.32494216,6.6188,20280.0,5485.0,15.403,12.19,4.556,0.867,411.0,347.2,0.224,0,0,0,0,1.780496914176267,4.307067950661298,1
K00806.03,K00806.03,Kepler-30 b,3832474,KOI,CONFIRMED,29.1598615,4.803,488.0,5485.0,15.403,1.91,4.556,0.867,524.0,11.6,0.3619,0,0,0,0,1.4647854568911844,2.6884198220027105,1
K00807.01,K00807.01,,3836375,KOI,FALSE POSITIVE,1.540397253,2.1541,816.1,5663.0,15.974,25.69,4.53,0.915,1470.0,38.8,1.225,0,0,1,1,0.1876327354713339,2.911743377855932,0
K00808.01,K00808.01,,3838486,KOI,FALSE POSITIVE,2.99025443,5.414,589.2,4667.0,15.842,1.7,4.578,0.731,918.0,48.5,0.014,0,0,1,1,0.4757081424528503,2.7702627381705933,0
K00809.01,K00809.01,Kepler-686 b,3935914,KOI,CONFIRMED,1.594745374,1.9604,15044.0,5934.0,15.53,11.3,4.491,0.893,1539.0,1009.3,0.514,0,0,0,0,0.202691351033072,4.177363324750361,1
K00810.01,K00810.01,Kepler-1728 b,3940418,KOI,CONFIRMED,4.783002698,2.335,1008.7,5170.0,15.119,2.5,4.574,0.807,886.0,70.6,0.003,0,0,0,0,0.6797006258492131,3.0037620208282463,1
K00811.01,K00811.01,Kepler-687 b,4049131,KOI,CONFIRMED,20.50588921,4.0595,2105.5,4905.0,15.398,3.41,4.544,0.761,518.0,78.5,0.26,0,0,0,0,1.3118786066214585,3.323355245756284,1
K00812.01,K00812.01,Kepler-235 b,4139816,KOI,CONFIRMED,3.340218842,1.9104,1632.6,3950.0,15.954,2.03,4.754,0.493,656.0,71.6,0.466,0,0,0,0,0.5237749215299773,3.212879792163401,1
K00828.01,K00828.01,,5287983,KOI,FALSE POSITIVE,2.507089906,2.0067,1339.2,5926.0,15.555,30.26,4.506,0.939,1326.0,64.9,1.255,0,1,1,0,0.3991699083417741,3.126845440649185,0
K00829.01,K00829.01,Kepler-53 b,5358241,KOI,CONFIRMED,18.64932728,4.4056,893.6,5775.0,15.386,3.12,4.405,1.053,701.0,46.1,0.08,0,0,0,0,1.2706631705225517,2.9511431601075526,1
K00117.02,K00117.02,Kepler-107 c,10875245,KOI,CONFIRMED,4.90144976,4.1654,140.7,5847.0,12.487,1.7,4.191,1.402,1262.0,50.6,0.529,0,0,0,0,0.6903245554659424,2.1482940974347455,1
K00829.02,K00829.02,Kepler-53 d,5358241,KOI,CONFIRMED,9.75192101,4.793,418.0,5775.0,15.386,2.76,4.405,1.053,870.0,28.5,0.949,0,0,0,0,0.989090174864216,2.621176281775035,1
K00829.03,K00829.03,Kepler-53 c,5358241,KOI,CONFIRMED,38.5576546,5.794,993.0,5775.0,15.386,4.02,4.405,1.053,550.0,39.7,0.911,0,0,0,0,1.5861106086006855,2.996949248495381,1
K00830.01,K00830.01,Kepler-428 b,5358624,KOI,CONFIRMED,3.525632539,2.59959,22335.0,5150.0,15.224,11.58,4.572,0.793,975.0,1996.7,0.12,0,0,0,0,0.5472370457395908,4.348985956807858,1
K00815.01,K00815.01,,4544670,KOI,CANDIDATE,34.84398644,2.9315,4523.6,5509.0,15.684,7.61,4.482,0.871,511.0,76.8,0.934,0,0,0,0,1.5421278360558834,3.6554841953973067,1
K00816.01,K00816.01,Kepler-690 b,4664847,KOI,CONFIRMED,7.748094239,3.5957,2472.1,5973.0,15.67,5.52,4.439,1.085,964.0,113.2,0.517,0,0,0,0,0.8891948943429924,3.3930660346084394,1
K00817.01,K00817.01,Kepler-236 c,4725681,KOI,CONFIRMED,23.96793669,3.827,1182.3,3747.0,15.414,1.8,4.728,0.524,329.0,27.5,0.416,0,0,0,0,1.3796306488556558,3.0727276895852653,1
K00817.02,K00817.02,Kepler-236 b,4725681,KOI,CONFIRMED,8.29561738,1.3421,824.3,3747.0,15.414,1.82,4.728,0.524,469.0,17.9,0.888,0,0,0,0,0.9188487128136336,2.9160852998437026,1
K00818.01,K00818.01,Kepler-691 b,4913852,KOI,CONFIRMED,8.11437482,2.2736,1558.0,3692.0,15.877,2.1,4.753,0.517,460.0,56.4,0.573,0,0,0,0,0.909255064805086,3.1925674533365456,1
K00819.01,K00819.01,,4932348,KOI,FALSE POSITIVE,38.036729482,4.34617,82872.0,5575.0,15.472,27.5,4.521,0.932,500.0,1300.0,0.501,0,1,0,0,1.580203167861,4.91840782006106,0
K00820.01,K00820.01,,4936180,KOI,CANDIDATE,4.64090031,35.512,2450.6,6463.0,15.27,30.09,4.5,0.826,1155.0,296.9,1.28,0,0,0,0,0.6666022395498423,3.389272429175553,1
K00011.01,K00011.01,,11913073,KOI,FALSE POSITIVE,3.747838198,5.0642,616.0,5514.0,13.496,13.65,4.569,0.826,1031.0,138.2,1.121,0,1,1,1,0.5737808332209209,2.7895807121644256,0
K00117.01,K00117.01,Kepler-107 e,10875245,KOI,CONFIRMED,14.74914825,6.0995,430.2,5847.0,12.487,2.89,4.191,1.402,874.0,107.4,0.173,0,0,0,0,1.1687669409239616,2.6336704060514435,1
K00821.01,K00821.01,Kepler-692 b,5021899,KOI,CONFIRMED,21.81295996,4.3791,1175.4,5601.0,15.54,3.38,4.41,0.999,639.0,37.8,0.053,0,0,0,0,1.3387146021707061,3.07018568637838,1
